Обновлено 20.07.2017;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Среднемесячная номинальная начисленная заработная плата работников по полному кругу организаций  по субъектам Российской Федерации в 2013-2017 гг., рублей;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
2013;;;;;;;;;;;;;2014;;;;;;;;;;;;2015 1);;;;;;;;;;;;2016 1);;;;;;;;;;;;2017;;;;
;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май;июнь;июль;август;сентябрь;октябрь;ноябрь;декабрь;январь;февраль;март;апрель;май
Пензенская область;18138;17809;19417;20003;20350;20741;21016;20978;20690;21092;21583;25972;20285;20136;21068;22361;22281;22368;23059;22319;22438;22606;22638;27459;21437;21577;22316;23300;23769;23697;23967;23473;23027;23242;23089;27664;22693;22839;24101;25114;25395;25987;25709;25770;25259;25309;25566;31319;23529;23874;25879;25470;27047
Самарская область;21228;20620;22032;23116;23073;23561;23410;23507;23087;23956;24486;29276;23579;23207;25587;25815;25314;26101;26735;24408;25618;25842;26445;32647;24743;24786;25731;28177;27131;28021;27919;25901;26609;27607;26905;33794;25872;26387;27140;27218;30076;29916;28342;28180;27934;28022;28412;34701;27436;27172;29212;30215;32260
Саратовская область;18526;18303;19567;20254;20493;20853;20723;20187;19915;20442;21130;25597;20174;20019;20805;22229;21941;22535;22299;21418;21536;22132;22006;26932;21026;21126;21603;22901;22929;23591;22742;22031;22192;22082;22049;26221;21677;21923;22521;22972;23774;24266;22798;22698;22794;22634;22961;31197;22501;23133;23960;24027;25070
Ульяновская область;16833;17361;17930;18309;18978;19303;19798;19255;18709;19541;20017;24074;19381;19206;19817;20608;21306;21827;21180;20532;20781;20930;21099;26487;20407;20874;21755;22558;23146;23472;23097;21852;22266;22823;22594;28705;22205;22847;23711;23656;24368;25443;23876;23905;23930;24246;24576;30415;24176;24069;25406;25353;26255
Курганская область;17057;17050;17983;19267;19569;20686;19650;18700;19542;19437;19871;25242;19722;19056;19532;20660;21178;21787;21328;20463;20905;20832;21288;26585;20146;20411;21151;20641;22501;22541;21944;21612;21723;21614;21483;26999;20931;21113;22597;22021;24453;25174;22735;22676;23089;22944;23491;29325;23362;22697;23862;24017;26561
Свердловская область;25338;24945;26795;27908;27184;28388;28201;27290;27400;28669;28882;34823;28043;26972;28518;30103;29885;30956;29856;28168;28986;29937;29917;35999;29054;28653;30348;31108;31166;32649;30921;29252;30158;30548;30623;37607;29962;29874;31310;31782;32826;34128;32046;31638;32280;32631;33321;41030;33779;32854;34061;34662;35985
Тюменская область;44536;45270;50646;54603;51194;53353;49390;48364;50999;47499;47248;68674;48190;48529;56467;58140;56376;57847;53117;49492;55114;50186;49002;71191;50294;51028;55293;63238;59499;60386;55501;52557;56410;52428;51528;73564;54950;55161;59319;63085;67432;65263;58536;55512;59785;55279;54077;78722;56348;55990;62888;68410;72097
Ханты-Мансийский  автономный округ;47161;46898;55059;53998;53742;57843;51975;50908;56750;50692;50511;78513;50575;50390;61452;57310;59415;62304;56342;51679;60698;52663;51041;80911;53192;52931;60138;63379;61574;65525;58886;54270;61707;55191;53451;82993;57415;57026;63101;61447;70641;71075;60900;56362;65031;57276;55641;87980;58803;56605;65695;66171;74860
Ямало-Ненецкий автономный округ;62592;65436;65852;86809;73132;71518;67553;65470;65447;63345;62171;84048;67195;68252;73468;90185;81474;78333;72266;68011;71796;68029;67112;87911;70116;71151;71949;99227;86302;79281;74963;72817;73213;70439;71081;89941;77880;77993;80438;101554;94769;86720;82526;78247;77393;75630;74205;98971;80645;80876;86090;109343;105414
Челябинская область;22949;22902;23715;25597;25327;26149;26215;25602;25538;26659;26721;32901;26101;25527;26473;28258;27418;28482;28108;27077;27517;28611;28059;34098;27459;28120;28883;29922;29926;30524;29853;28566;29020;30191;29791;35282;29158;28652;30166;30720;30988;31900;30474;30161;30389;31270;31095;37504;29266;29324;31040;32335;32727
Республика Алтай;19126;17897;19398;19593;20349;23653;19135;18656;19599;20307;20554;28664;21346;19868;20752;21745;23068;25434;21455;19904;21416;21696;21121;29722;21124;21587;21717;22048;24031;26277;21277;20215;21671;21977;21767;28968;21885;22499;23172;22514;24464;28603;22444;21976;23158;22583;23610;31033;22797;24093;24005;24825;26930
Республика Бурятия;22841;22022;23838;25403;26317;29117;25036;24078;24918;26027;26616;35754;26706;25020;26359;27010;27551;29979;26751;24166;26736;27763;28109;37489;26725;26245;27943;28009;29473;31950;27598;25379;27355;29003;28702;36460;28132;27838;28950;28904;30353;34014;28684;27138;28861;29886;30988;39184;28342;27571;32051;31339;32049
Республика Тыва;22458;21111;22966;24010;24823;28961;22574;21920;24874;28593;26274;38705;25753;23604;26331;25731;28055;34500;23263;22580;26561;32083;26333;38172;26258;25637;26965;27277;28879;36534;23790;23965;27321;32547;26906;38351;27290;27115;28275;27460;31310;38245;24076;24448;28231;33402;27727;39214;27688;28632;32939;29617;33609
Республика Хакасия;24601;23493;25458;25789;26723;29329;25963;26102;26754;27710;27235;35371;27807;26183;27992;27501;28604;31258;27621;26630;28147;29282;28975;37546;28476;28629;29668;29919;30570;32885;28396;28162;29172;30473;28918;36908;29312;29226;30118;31305;33399;36253;30271;30759;31613;32898;32283;40449;31597;31841;32520;33384;34701
Алтайский край;16266;15821;17029;17181;17588;18866;18068;17672;18053;18574;18664;23621;17809;17319;18597;18732;19356;20593;19515;18621;19451;19532;19679;24280;18408;18184;19307;19375;19993;20781;20239;19184;19582;19875;19669;24919;19209;19241;20048;20188;20802;22318;20918;20069;20873;20778;20821;27208;20302;20091;21807;21953;22504
Забайкальский край;24295;23847;25361;25358;26841;28718;26282;24885;26234;27271;27950;38160;27179;25920;27353;28061;29547;31652;28894;26157;28151;29557;29276;38089;28397;27790;28875;31088;32157;33990;30285;27594;30403;30348;30421;39022;29764;29693;30516;31116;32316;36054;31150;29611;32919;32201;32710;45031;31185;31083;32973;33237;34905
Красноярский край;28688;27890;29862;31408;31447;32033;31896;30808;30939;31720;32326;41088;31529;30815;33192;34032;35962;35341;33729;31295;32716;33445;33809;43008;33153;32409;33864;36818;37236;37097;35044;33148;34617;35208;35535;44711;35424;34666;36388;38502;40964;40200;36702;35568;36676;36988;37519;47647;35974;35886;37554;40295;42610
