Новодвинск - 38906
Коряжма - 37256
Завитинск - 10830
Мирный - Н/Д
Няндома - 20395
Эльбан - 11525
Вычегодский - Н/Д
Онега - Н/Д
Плесецк - Н/Д
Каргополь - 10052
Ахтубинск - Н/Д
Знаменск - Н/Д
Камызяк - Н/Д
Харабали - Н/Д
Красный Яр - Н/Д
Вельск - Н/Д
Нариманов - Н/Д
Володарский - Н/Д
Алексеевка - 38566
Валуйки - 34104
Шебекино - 42903
Строитель - 24322
Новый Оскол - 18932
Коноша - 11103
Чернянка - 14931
Борисовка - 13743
Волоконовка - 10936
Ракитное - 10524
Северный - 10501
Новозыбков - 40632
Дятьково - 27155
Унеча - 24230
Икряное - Н/Д
Стародуб - 18868
Ровеньки - 10795
Жуковка - 17037
Разумное - 18494
Почеп - 16748
Сельцо - 16759
Трубчевск - 13802
Климово - 13297
Фокино - 13143
Карачев - 18175
Сураж - 11089
Кольчугино - 43784
Клетня - 12796
Вязники - 37197
Юрьев-Польский - Н/Д
Радужный - Н/Д
Покров - Н/Д
Собинка - Н/Д
Лакинск - Н/Д
Карабаново - Н/Д
Навля - 14709
Петушки - Н/Д
Струнино - Н/Д
Гороховец - Н/Д
Меленки - Н/Д
Камешково - Н/Д
Киржач - Н/Д
Судогда - Н/Д
Калач-на-Дону - 24742
Фролово - 37757
Городище - 21913
Котельниково - 20384
Новоаннинский - 16655
Жирновск - 16060
Суровикино - 19181
Краснослободск - 17356
Котово - 22707
Ленинск - 15353
Николаевск - 13998
Урюпинск - 38758
Палласовка - 15089
Средняя Ахтуба - 14364
Светлый Яр - 11869
Иловля - 11418
Дубовка - 14272
Петров Вал - Н/Д
Великий Устюг - 31644
Сокол - 37391
Грязовец - 14949
Шексна - 18881
Бабаево - 11502
Елань - 14081
Острогожск - 32826
Вытегра - 10192
Нововоронеж - 31502
Новая Усмань - Н/Д
Бутурлиновка - 24935
Павловск - 25188
Калач - 19182
Семилуки - 26671
Бобров - 20466
Поворино - 17173
Грибановский - 15139
Таловая - 11590
Кантемировка - 11044
Эртиль - 10575
Богучар - 11190
Анна - 16586
Фурманов - Н/Д
Тейково - Н/Д
Вичуга - Н/Д
Родники - Н/Д
Кохма - Н/Д
Приволжск - Н/Д
Кадуй - 11252
Заволжск - Н/Д
Усть-Кут - Н/Д
Южа - Н/Д
Саянск - 38957
Нижнеудинск - Н/Д
Шелехов - Н/Д
Тулун - 41987
Железногорск-Илимский - Н/Д
Тайшет - Н/Д
Слюдянка - Н/Д
Маркова - Н/Д
Вихоревка - 21459
Усть-Ордынский - Н/Д
Бодайбо - Н/Д
Байкальск - Н/Д
Киренск - Н/Д
Советск - 40984
Черняховск - 37037
Балтийск - 33212
Гусев - 28204
Свирск - 13127
Светлый - 22015
Гурьевск - 15007
Зеленоградск - 14830
Светлогорск - 12425
Пионерский - 11395
Неман - 11130
Чунский - Н/Д
Людиново - Н/Д
Гвардейск - 13214
Малоярославец - 28058
Балабаново - 25426
Зима - 31283
Кондрово - 15146
Киров - 30894
Козельск - 16045
Товарково - 14039
Жуков - 12844
Сухиничи - 15144
Кремёнки - 10774
Воротынск - Н/Д
Ермолино - 10263
Берёзовский - 47140
Осинники - 43445
